Group;Participant;Sound;Token#;F1;F2;F3;Language;Time;VerbalInt;BestBq;BestEng;ExpL1;Alondra;Inhibition;Precision_E;Precision_y;Distance
Auditory;108;e;21;532;2594;3185;L1;T0;98;53;39;60;242;0;119.6965237;174.8094036;2.127068865
Auditory;108;e;22;554;2562;3210;L1;T0;98;53;39;60;242;0;119.6965237;174.8094036;1.071060364
Auditory;108;e;23;541;2545;3136;L1;T0;98;53;39;60;242;0;119.6965237;174.8094036;0.629410878
Auditory;108;e;24;566;2490;3133;L1;T0;98;53;39;60;242;0;119.6965237;174.8094036;0.395548881
Auditory;108;e;25;520;2568;3149;L1;T0;98;53;39;60;242;0;119.6965237;174.8094036;1.421283291
Auditory;109;e;1;620;2750;3396;L1;T0;94;43;32;70;175;0;86.85886703;348.0111407;11.15234323
Auditory;109;e;2;586;2717;3283;L1;T0;94;43;32;70;175;0;86.85886703;348.0111407;2.10564473
Auditory;109;e;3;576;2662;3248;L1;T0;94;43;32;70;175;0;86.85886703;348.0111407;0.263346315
Auditory;109;e;4;574;2689;3275;L1;T0;94;43;32;70;175;0;86.85886703;348.0111407;0.82957597
Auditory;109;e;5;563;2687;3272;L1;T0;94;43;32;70;175;0;86.85886703;348.0111407;1.4815194
Auditory;109;e;6;583;2674;3307;L1;T0;94;43;32;70;175;0;86.85886703;348.0111407;0.721366426
Auditory;109;e;7;565;2745;3293;L1;T0;94;43;32;70;175;0;86.85886703;348.0111407;3.625680566
Auditory;109;e;8;555;2713;3263;L1;T0;94;43;32;70;175;0;86.85886703;348.0111407;3.601091627
Auditory;109;e;9;589;2656;3267;L1;T0;94;43;32;70;175;0;86.85886703;348.0111407;1.05086958
Auditory;109;e;10;582;2621;3182;L1;T0;94;43;32;70;175;0;86.85886703;348.0111407;0.292556751
Auditory;109;e;11;580;2527;3098;L1;T0;94;43;32;70;175;0;86.85886703;348.0111407;2.448251978
Auditory;109;e;12;580;2613;3211;L1;T0;94;43;32;70;175;0;86.85886703;348.0111407;0.214385172
Auditory;109;e;13;567;2574;3188;L1;T0;94;43;32;70;175;0;86.85886703;348.0111407;0.736325106
Auditory;109;e;14;564;2626;3205;L1;T0;94;43;32;70;175;0;86.85886703;348.0111407;0.448554265
Auditory;109;e;15;557;2584;3231;L1;T0;94;43;32;70;175;0;86.85886703;348.0111407;1.509432231
Auditory;109;e;16;568;2566;3223;L1;T0;94;43;32;70;175;0;86.85886703;348.0111407;0.875403441
Auditory;109;e;17;563;2615;3168;L1;T0;94;43;32;70;175;0;86.85886703;348.0111407;0.542883009
Auditory;109;e;18;555;2605;3181;L1;T0;94;43;32;70;175;0;86.85886703;348.0111407;1.611190251
Auditory;109;e;19;565;2663;3145;L1;T0;94;43;32;70;175;0;86.85886703;348.0111407;0.724917787
Auditory;109;e;20;564;2617;3201;L1;T0;94;43;32;70;175;0;86.85886703;348.0111407;0.447747866
Auditory;109;e;21;568;2494;3133;L1;T0;94;43;32;70;175;0;86.85886703;348.0111407;3.776016723
Auditory;109;e;22;568;2629;3177;L1;T0;94;43;32;70;175;0;86.85886703;348.0111407;0.168697312
Auditory;109;e;23;580;2567;3130;L1;T0;94;43;32;70;175;0;86.85886703;348.0111407;1.013048029
Auditory;109;e;24;575;2535;3070;L1;T0;94;43;32;70;175;0;86.85886703;348.0111407;1.845576192
Auditory;109;e;25;606;2546;3149;L1;T0;94;43;32;70;175;0;86.85886703;348.0111407;6.513576045
Auditory;110;e;1;646;2648;3354;L1;T0;95;38;55;50;236;-0,2518;72.92548503;14.74067555;3.026615545
Auditory;110;e;2;620;2565;3225;L1;T0;95;38;55;50;236;-0,2518;72.92548503;14.74067555;0.027830047
Auditory;110;e;3;648;2536;3181;L1;T0;95;38;55;50;236;-0,2518;72.92548503;14.74067555;0.718674723
Auditory;110;e;4;612;2505;3200;L1;T0;95;38;55;50;236;-0,2518;72.92548503;14.74067555;1.1497755
Auditory;110;e;5;615;2595;3217;L1;T0;95;38;55;50;236;-0,2518;72.92548503;14.74067555;0.184848795
Auditory;110;e;6;582;2587;3195;L1;T0;95;38;55;50;236;-0,2518;72.92548503;14.74067555;0.501534791
Auditory;110;e;7;662;2556;3129;L1;T0;95;38;55;50;236;-0,2518;72.92548503;14.74067555;1.318066971
Auditory;110;e;8;527;2618;3231;L1;T0;95;38;55;50;236;-0,2518;72.92548503;14.74067555;3.892877042
Auditory;110;e;9;660;2394;3021;L1;T0;95;38;55;50;236;-0,2518;72.92548503;14.74067555;7.290896199
Auditory;110;e;10;649;2603;3159;L1;T0;95;38;55;50;236;-0,2518;72.92548503;14.74067555;1.419990456
Auditory;110;e;11;600;2586;3220;L1;T0;95;38;55;50;236;-0,2518;72.92548503;14.74067555;0.108964032
Auditory;110;e;12;653;2592;3214;L1;T0;95;38;55;50;236;-0,2518;72.92548503;14.74067555;1.354749546
Auditory;110;e;13;611;2539;3220;L1;T0;95;38;55;50;236;-0,2518;72.92548503;14.74067555;0.276610582
Auditory;110;e;14;626;2641;3239;L1;T0;95;38;55;50;236;-0,2518;72.92548503;14.74067555;1.718403682
Auditory;110;e;15;621;2555;3204;L1;T0;95;38;55;50;236;-0,2518;72.92548503;14.74067555;0.066408254
Auditory;110;e;16;667;2627;3280;L1;T0;95;38;55;50;236;-0,2518;72.92548503;14.74067555;3.51777823
Auditory;110;e;17;582;2566;3207;L1;T0;95;38;55;50;236;-0,2518;72.92548503;14.74067555;0.612962752
Auditory;110;e;18;677;2531;3173;L1;T0;95;38;55;50;236;-0,2518;72.92548503;14.74067555;2.185493153
Auditory;110;e;19;580;2646;3160;L1;T0;95;38;55;50;236;-0,2518;72.92548503;14.74067555;1.486588606
Auditory;110;e;20;583;2648;3205;L1;T0;95;38;55;50;236;-0,2518;72.92548503;14.74067555;1.503361262
Auditory;110;e;21;649;2486;3158;L1;T0;95;38;55;50;236;-0,2518;72.92548503;14.74067555;1.82082614
Auditory;110;e;22;522;2664;3184;L1;T0;95;38;55;50;236;-0,2518;72.92548503;14.74067555;4.919871417
Auditory;110;e;23;536;2556;3247;L1;T0;95;38;55;50;236;-0,2518;72.92548503;14.74067555;3.921713971
Auditory;110;e;24;577;2563;3248;L1;T0;95;38;55;50;236;-0,2518;72.92548503;14.74067555;0.859297352
Auditory;110;e;25;615;2445;3259;L1;T0;95;38;55;50;236;-0,2518;72.92548503;14.74067555;4.115860952
Auditory;111;e;1;500;2488;3067;L1;T0;108;50;39;60;186;0;13.66341955;96.55886756;6.359841685
Auditory;111;e;2;566;2416;3065;L1;T0;108;50;39;60;186;0;13.66341955;96.55886756;0.601714225
Auditory;111;e;3;602;2366;2946;L1;T0;108;50;39;60;186;0;13.66341955;96.55886756;0.642297567
Auditory;111;e;4;620;2389;2897;L1;T0;108;50;39;60;186;0;13.66341955;96.55886756;2.465165315
Auditory;111;e;5;634;2338;3019;L1;T0;108;50;39;60;186;0;13.66341955;96.55886756;2.89140092
Auditory;111;e;6;582;2398;3029;L1;T0;108;50;39;60;186;0;13.66341955;96.55886756;0.385271272
Auditory;111;e;7;608;2459;3081;L1;T0;108;50;39;60;186;0;13.66341955;96.55886756;4.391275404
Auditory;111;e;8;617;2289;2834;L1;T0;108;50;39;60;186;0;13.66341955;96.55886756;1.792340744
Auditory;111;e;9;591;2261;2773;L1;T0;108;50;39;60;186;0;13.66341955;96.55886756;2.195655754
Auditory;111;e;10;529;2379;2960;L1;T0;108;50;39;60;186;0;13.66341955;96.55886756;2.249442049
Auditory;111;e;11;535;2390;2933;L1;T0;108;50;39;60;186;0;13.66341955;96.55886756;1.644937375
Auditory;111;e;12;578;2375;2973;L1;T0;108;50;39;60;186;0;13.66341955;96.55886756;0.038825761
Auditory;111;e;13;626;2292;2765;L1;T0;108;50;39;60;186;0;13.66341955;96.55886756;2.30085948
Auditory;111;e;14;599;2388;2878;L1;T0;108;50;39;60;186;0;13.66341955;96.55886756;0.83734207
Auditory;111;e;15;587;2330;2854;L1;T0;108;50;39;60;186;0;13.66341955;96.55886756;0.230168394
Auditory;111;e;16;558;2300;2864;L1;T0;108;50;39;60;186;0;13.66341955;96.55886756;1.872189381
Auditory;111;e;17;599;2346;2883;L1;T0;108;50;39;60;186;0;13.66341955;96.55886756;0.393953773
Auditory;111;e;18;577;2256;2882;L1;T0;108;50;39;60;186;0;13.66341955;96.55886756;2.83888061
Auditory;111;e;19;547;2239;2886;L1;T0;108;50;39;60;186;0;13.66341955;96.55886756;6.275537294
Auditory;111;e;20;558;2369;2853;L1;T0;108;50;39;60;186;0;13.66341955;96.55886756;0.374044018
