Group;Participant;Sound;Language;Time;Alondra;Inhibition;Compactness;Precision_L2
Novel;301;u;L1;T0;224;-0,9083;1627.039311;51.39393225
Novel;302;u;L1;T0;;0;2993.841615;49.39670554
Novel;303;u;L1;T0;188;0;4430.729158;259.8716375
Novel;304;u;L1;T0;259;0;333.3476177;23.84701631
Novel;305;u;L1;T0;274;0;303.3342077;270.1908286
Novel;306;u;L1;T0;188;-0,5168;2407.77445;73.84171788
Novel;307;u;L1;T0;195;-0,199;1094.424363;139.430019
Novel;308;u;L1;T0;212;0;1792.752649;74.98204223
Novel;309;u;L1;T0;206;0;784.2396961;264.8280838
Novel;310;u;L1;T0;191;-0,1579;4129.294021;101.167294
Novel;311;u;L1;T0;231;-0,096;2727.183668;75.24971118
Novel;312;u;L1;T0;269;-0,0322;501.905615;151.3814588
Novel;313;u;L1;T0;273;0;2153.907595;172.1349187
Novel;314;u;L1;T0;178;-0,1345;2549.807097;84.92310719
Novel;315;u;L1;T0;235;-0,0499;2686.919564;154.0135134
Novel;316;u;L1;T0;213;-0,1526;1536.178753;38.16417288
Novel;317;u;L1;T0;225;-0,128;3360.894039;1242.78019
Novel;318;u;L1;T0;185;0;2760.438224;47.03632967
Novel;320;u;L1;T0;202;0;2961.718657;174.7684585
Novel;321;u;L1;T0;212;-0,0635;772.5038268;68.24936499
Novel;322;u;L1;T0;206;-0,4812;1823.268263;90.33495628
Novel;325;u;L1;T0;196;-0,082;2960.145105;101.747305
Novel;326;u;L1;T0;234;0;5263.937651;41.96541753
Novel;328;u;L1;T0;232;-0,1358;3087.716122;14.149775
Novel;329;u;L1;T0;274;0;4590.223882;100.4405678
Auditory;101;e;L1;T1;267;-0,0648;5986.934509;94.12076574
Auditory;102;e;L1;T1;253;0;7029.608805;11.74512169
Auditory;103;e;L1;T1;191;0;2255.042592;67.68335096
Auditory;104;e;L1;T1;237;0;4930.366863;22.29820332
Auditory;105;e;L1;T1;218;0;5314.856408;32.29335158
Auditory;107;e;L1;T1;255;-0,315;1701.735828;12.60335054
Auditory;108;e;L1;T1;242;0;13838.94968;119.6965237
Auditory;109;e;L1;T1;175;0;12241.87002;86.85886703
Auditory;110;e;L1;T1;236;-0,2518;9008.34164;72.92548503
Auditory;111;e;L1;T1;186;0;8148.751426;13.66341955
Auditory;112;e;L1;T1;180;0;3149.794635;93.66096542
